ACT Symbol,Security Name,Exchange
BBG,Bill Barrett Corporation Common Stock,N
BBK,Blackrock Municipal Bond Trust,N
BBL,BHP Billiton plc Sponsored ADR,N
BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest,N
BBT,BB&T Corporation Common Stock,N
BBT$D,BB&T Corporation Depositary Shares Representing 1/1000th Perpetual Preferred Series D,N
BBT$E,BB&T Corporation Depositary Shares Representing 1/1000th Perpetual Preferred Series E,N
BBT$F,BB&T Corporation Depositary Shares Representing 1/1000th Interest Series F Perpetual Preferred,N
BBT$G,BB&T Corporation Depositary Shares Representing 1/1000th Perpetual Preferred Series G,N
BBT$H,"BB&T Corporation Depositary shares, each representing a 1/1,000 th interest in a share of Series H Non-Cumulative Perpetual Preferred Stock",N
BBU,Brookfield Business Partners L.P. Limited Partnership Units ,N
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,N
BBW,"Build-A-Bear Workshop, Inc. Common Stock",N
BBX,BBX Capital Corporation Class A Common Stock,N
BBY,"Best Buy Co., Inc. Common Stock",N
BC,Brunswick Corporation Common Stock,N
BCC,"Boise Cascade, L.L.C. Common Stock",N
BCE,"BCE, Inc. Common Stock",N
BCEI,"Bonanza Creek Energy, Inc. Common Stock",N
BCH,Banco De Chile Banco De Chile ADS,N
BCO,Brinks Company (The) Common Stock,N
BCR,"C.R. Bard, Inc. Common Stock",N
BCRH,Blue Capital Reinsurance Holdings Ltd. Common Shares,N
BCS,Barclays PLC Common Stock,N
BCS$D,"Barclays PLC American Depositary Shares (Each representing Non-Cumulative Callable Dollar Preference Shares, Series 5",N
BCX,BlackRock Resources Common Shares of Beneficial Interest,N
BDC,Belden Inc Common Stock,N
BDC$B,"Belden Inc Depositary Shares, each representing a 1/100th interest in a share of 6.75% Series B Mandatory Convertible Preferred Stock",N
BDJ,Blackrock Enhanced Equity Dividend Trust,N
BDN,Brandywine Realty Trust Common Stock,N
BDX,"Becton, Dickinson and Company Common Stock",N
BDXA,"Becton, Dickinson and Company Depositary Shares, each Representing a 1/20th Interest in a Share of 6.125% Mandatory Convertible Preferred Stock, Series A, $1.00 par value",N
BEDU,"Bright Scholar Education Holdings Limited American Depositary Shares, each  representing one Class A Ordinary Share",N
BEL,Belmond Ltd. Class A Common Stock,N
BEN,"Franklin Resources, Inc. Common Stock",N
BEP,Brookfield Renewable Partners L.P. ,N
BERY,"Berry Global Group, Inc. Common Stock",N
BETR,"Amplify Snack Brands, Inc. Common Stock",N
BF.A,Brown Forman Inc Class A Common Stock,N
BF.B,Brown Forman Inc Class B Common Stock,N
BFAM,Bright Horizons Family Solutions Inc. Common Stock,N
BFK,BlackRock Municipal Income Trust,N
BFO,Blackrock Florida Municipal 2020 Term Trust,N
BFR,BBVA Banco Frances S.A. Common Stock,N
BFS,"Saul Centers, Inc. Common Stock",N
